Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
143.0_ ,169.0_ ,143.0_ ,191.0_ ,8.0_ ,967.0_ ,643.0_ ,28_ ,29.72_ 
260.0_ ,101.0_ ,78.0_ ,171.0_ ,10.0_ ,936.0_ ,763.0_ ,28_ ,49.77_ 
313.0_ ,161.0_ ,0.0_ ,178.0_ ,10.0_ ,917.0_ ,759.0_ ,28_ ,52.44_ 
284.0_ ,120.0_ ,0.0_ ,168.0_ ,7.0_ ,970.0_ ,794.0_ ,28_ ,40.93_ 
336.0_ ,0.0_ ,0.0_ ,182.0_ ,3.0_ ,986.0_ ,817.0_ ,28_ ,44.86_ 
145.0_ ,0.0_ ,134.0_ ,181.0_ ,11.0_ ,979.0_ ,812.0_ ,28_ ,13.20_ 
150.0_ ,237.0_ ,0.0_ ,174.0_ ,12.0_ ,1069.0_ ,675.0_ ,28_ ,37.43_ 
144.0_ ,170.0_ ,133.0_ ,192.0_ ,8.0_ ,814.0_ ,805.0_ ,28_ ,29.87_ 
331.0_ ,170.0_ ,0.0_ ,195.0_ ,8.0_ ,811.0_ ,802.0_ ,28_ ,56.61_ 
155.0_ ,0.0_ ,143.0_ ,193.0_ ,9.0_ ,1047.0_ ,697.0_ ,28_ ,12.46_ 
155.0_ ,183.0_ ,0.0_ ,193.0_ ,9.0_ ,877.0_ ,868.0_ ,28_ ,23.79_ 
135.0_ ,0.0_ ,166.0_ ,180.0_ ,10.0_ ,961.0_ ,805.0_ ,28_ ,13.29_ 
266.0_ ,112.0_ ,87.0_ ,178.0_ ,10.0_ ,910.0_ ,745.0_ ,28_ ,39.42_ 
314.0_ ,145.0_ ,113.0_ ,179.0_ ,8.0_ ,869.0_ ,690.0_ ,28_ ,46.23_ 
313.0_ ,145.0_ ,0.0_ ,127.0_ ,8.0_ ,1000.0_ ,822.0_ ,28_ ,44.52_ 
146.0_ ,173.0_ ,0.0_ ,182.0_ ,3.0_ ,986.0_ ,817.0_ ,28_ ,23.74_ 
144.0_ ,136.0_ ,106.0_ ,178.0_ ,7.0_ ,941.0_ ,774.0_ ,28_ ,26.14_ 
148.0_ ,0.0_ ,182.0_ ,181.0_ ,15.0_ ,839.0_ ,884.0_ ,28_ ,15.52_ 
277.0_ ,117.0_ ,91.0_ ,191.0_ ,7.0_ ,946.0_ ,666.0_ ,28_ ,43.57_ 
298.0_ ,0.0_ ,107.0_ ,164.0_ ,13.0_ ,953.0_ ,784.0_ ,28_ ,35.86_ 
313.0_ ,145.0_ ,0.0_ ,178.0_ ,8.0_ ,1002.0_ ,689.0_ ,28_ ,41.05_ 
155.0_ ,184.0_ ,143.0_ ,194.0_ ,9.0_ ,880.0_ ,699.0_ ,28_ ,28.99_ 
289.0_ ,134.0_ ,0.0_ ,195.0_ ,6.0_ ,924.0_ ,760.0_ ,28_ ,46.24_ 
148.0_ ,175.0_ ,0.0_ ,171.0_ ,2.0_ ,1000.0_ ,828.0_ ,28_ ,26.92_ 
145.0_ ,0.0_ ,179.0_ ,202.0_ ,8.0_ ,824.0_ ,869.0_ ,28_ ,10.54_ 
313.0_ ,0.0_ ,0.0_ ,178.0_ ,8.0_ ,1000.0_ ,822.0_ ,28_ ,25.10_ 
136.0_ ,162.0_ ,126.0_ ,172.0_ ,10.0_ ,923.0_ ,764.0_ ,28_ ,29.07_ 
155.0_ ,0.0_ ,143.0_ ,193.0_ ,9.0_ ,877.0_ ,868.0_ ,28_ ,9.74_ 
255.0_ ,99.0_ ,77.0_ ,189.0_ ,6.0_ ,919.0_ ,749.0_ ,28_ ,33.80_ 
162.0_ ,207.0_ ,172.0_ ,216.0_ ,10.0_ ,822.0_ ,638.0_ ,28_ ,39.84_ 
136.0_ ,196.0_ ,98.0_ ,199.0_ ,6.0_ ,847.0_ ,783.0_ ,28_ ,26.97_ 
164.0_ ,163.0_ ,128.0_ ,197.0_ ,8.0_ ,961.0_ ,641.0_ ,28_ ,27.23_ 
162.0_ ,214.0_ ,164.0_ ,202.0_ ,10.0_ ,820.0_ ,680.0_ ,28_ ,30.65_ 
157.0_ ,214.0_ ,152.0_ ,200.0_ ,9.0_ ,819.0_ ,704.0_ ,28_ ,33.05_ 
149.0_ ,153.0_ ,194.0_ ,192.0_ ,8.0_ ,935.0_ ,623.0_ ,28_ ,24.58_ 
135.0_ ,105.0_ ,193.0_ ,196.0_ ,6.0_ ,965.0_ ,643.0_ ,28_ ,21.91_ 
159.0_ ,209.0_ ,161.0_ ,201.0_ ,7.0_ ,848.0_ ,669.0_ ,28_ ,30.88_ 
144.0_ ,15.0_ ,195.0_ ,176.0_ ,6.0_ ,1021.0_ ,709.0_ ,28_ ,15.34_ 
154.0_ ,174.0_ ,185.0_ ,228.0_ ,7.0_ ,845.0_ ,612.0_ ,28_ ,24.34_ 
167.0_ ,187.0_ ,195.0_ ,185.0_ ,7.0_ ,898.0_ ,636.0_ ,28_ ,23.89_ 
184.0_ ,86.0_ ,190.0_ ,213.0_ ,6.0_ ,923.0_ ,623.0_ ,28_ ,22.93_ 
156.0_ ,178.0_ ,187.0_ ,221.0_ ,7.0_ ,854.0_ ,614.0_ ,28_ ,29.41_ 
236.9_ ,91.7_ ,71.5_ ,246.9_ ,6.0_ ,852.9_ ,695.4_ ,28_ ,28.63_ 
313.3_ ,0.0_ ,113.0_ ,178.5_ ,8.0_ ,1001.9_ ,688.7_ ,28_ ,36.80_ 
154.8_ ,183.4_ ,0.0_ ,193.3_ ,9.1_ ,1047.4_ ,696.7_ ,28_ ,18.29_ 
145.9_ ,230.5_ ,0.0_ ,202.5_ ,3.4_ ,827.0_ ,871.8_ ,28_ ,32.72_ 
296.0_ ,0.0_ ,106.7_ ,221.4_ ,10.5_ ,819.2_ ,778.4_ ,28_ ,31.42_ 
133.1_ ,210.2_ ,0.0_ ,195.7_ ,3.1_ ,949.4_ ,795.3_ ,28_ ,28.94_ 
313.3_ ,145.0_ ,0.0_ ,178.5_ ,8.0_ ,867.2_ ,824.0_ ,28_ ,40.93_ 
151.6_ ,0.0_ ,111.9_ ,184.4_ ,7.9_ ,992.0_ ,815.9_ ,28_ ,12.18_ 
153.1_ ,145.0_ ,113.0_ ,178.5_ ,8.0_ ,1001.9_ ,688.7_ ,28_ ,25.56_ 
139.9_ ,132.6_ ,103.3_ ,200.3_ ,7.4_ ,916.0_ ,753.4_ ,28_ ,36.44_ 
149.5_ ,236.0_ ,0.0_ ,175.8_ ,12.6_ ,846.8_ ,892.7_ ,28_ ,32.96_ 
299.8_ ,0.0_ ,119.8_ ,211.5_ ,9.9_ ,878.2_ ,727.6_ ,28_ ,23.84_ 
153.1_ ,145.0_ ,113.0_ ,178.5_ ,8.0_ ,867.2_ ,824.0_ ,28_ ,26.23_ 
148.1_ ,0.0_ ,136.6_ ,158.1_ ,16.1_ ,1001.8_ ,830.1_ ,28_ ,17.96_ 
326.5_ ,0.0_ ,137.9_ ,199.0_ ,10.8_ ,801.1_ ,792.5_ ,28_ ,38.63_ 
152.7_ ,144.7_ ,0.0_ ,178.1_ ,8.0_ ,999.7_ ,822.2_ ,28_ ,19.01_ 
261.9_ ,110.5_ ,86.1_ ,195.4_ ,5.0_ ,895.2_ ,732.6_ ,28_ ,33.72_ 
158.4_ ,0.0_ ,194.9_ ,219.7_ ,11.0_ ,897.7_ ,712.9_ ,28_ ,8.54_ 
150.7_ ,0.0_ ,185.3_ ,166.7_ ,15.6_ ,1074.5_ ,678.0_ ,28_ ,13.46_ 
272.6_ ,0.0_ ,89.6_ ,198.7_ ,10.6_ ,931.3_ ,762.2_ ,28_ ,32.25_ 
149.0_ ,117.6_ ,91.7_ ,182.9_ ,7.1_ ,953.4_ ,780.3_ ,28_ ,23.52_ 
143.0_ ,169.4_ ,142.7_ ,190.7_ ,8.4_ ,967.4_ ,643.5_ ,28_ ,29.73_ 
259.9_ ,100.6_ ,78.4_ ,170.6_ ,10.4_ ,935.7_ ,762.9_ ,28_ ,49.77_ 
312.9_ ,160.5_ ,0.0_ ,177.6_ ,9.6_ ,916.6_ ,759.5_ ,28_ ,52.45_ 
284.0_ ,119.7_ ,0.0_ ,168.3_ ,7.2_ ,970.4_ ,794.2_ ,28_ ,40.93_ 
336.5_ ,0.0_ ,0.0_ ,181.9_ ,3.4_ ,985.8_ ,816.8_ ,28_ ,44.87_ 
144.8_ ,0.0_ ,133.6_ ,180.8_ ,11.1_ ,979.5_ ,811.5_ ,28_ ,13.20_ 
150.0_ ,236.8_ ,0.0_ ,173.8_ ,11.9_ ,1069.3_ ,674.8_ ,28_ ,37.43_ 
143.7_ ,170.2_ ,132.6_ ,191.6_ ,8.5_ ,814.1_ ,805.3_ ,28_ ,29.87_ 
330.5_ ,169.6_ ,0.0_ ,194.9_ ,8.1_ ,811.0_ ,802.3_ ,28_ ,56.62_ 
154.8_ ,0.0_ ,142.8_ ,193.3_ ,9.1_ ,1047.4_ ,696.7_ ,28_ ,12.46_ 
154.8_ ,183.4_ ,0.0_ ,193.3_ ,9.1_ ,877.2_ ,867.7_ ,28_ ,23.79_ 
134.7_ ,0.0_ ,165.7_ ,180.2_ ,10.0_ ,961.0_ ,804.9_ ,28_ ,13.29_ 
266.2_ ,112.3_ ,87.5_ ,177.9_ ,10.4_ ,909.7_ ,744.5_ ,28_ ,39.42_ 
314.0_ ,145.3_ ,113.2_ ,178.9_ ,8.0_ ,869.1_ ,690.2_ ,28_ ,46.23_ 
312.7_ ,144.7_ ,0.0_ ,127.3_ ,8.0_ ,999.7_ ,822.2_ ,28_ ,44.52_ 
145.7_ ,172.6_ ,0.0_ ,181.9_ ,3.4_ ,985.8_ ,816.8_ ,28_ ,23.74_ 
143.8_ ,136.3_ ,106.2_ ,178.1_ ,7.5_ ,941.5_ ,774.3_ ,28_ ,26.15_ 
148.1_ ,0.0_ ,182.1_ ,181.4_ ,15.0_ ,838.9_ ,884.3_ ,28_ ,15.53_ 
277.0_ ,116.8_ ,91.0_ ,190.6_ ,7.0_ ,946.5_ ,665.6_ ,28_ ,43.58_ 
298.1_ ,0.0_ ,107.5_ ,163.6_ ,12.8_ ,953.2_ ,784.0_ ,28_ ,35.87_ 
313.3_ ,145.0_ ,0.0_ ,178.5_ ,8.0_ ,1001.9_ ,688.7_ ,28_ ,41.05_ 
155.2_ ,183.9_ ,143.2_ ,193.8_ ,9.2_ ,879.6_ ,698.5_ ,28_ ,28.99_ 
289.0_ ,133.7_ ,0.0_ ,194.9_ ,5.5_ ,924.1_ ,760.1_ ,28_ ,46.25_ 
147.8_ ,175.1_ ,0.0_ ,171.2_ ,2.2_ ,1000.0_ ,828.5_ ,28_ ,26.92_ 
145.4_ ,0.0_ ,178.9_ ,201.7_ ,7.8_ ,824.0_ ,868.7_ ,28_ ,10.54_ 
312.7_ ,0.0_ ,0.0_ ,178.1_ ,8.0_ ,999.7_ ,822.2_ ,28_ ,25.10_ 
136.4_ ,161.6_ ,125.8_ ,171.6_ ,10.4_ ,922.6_ ,764.4_ ,28_ ,29.07_ 
154.8_ ,0.0_ ,142.8_ ,193.3_ ,9.1_ ,877.2_ ,867.7_ ,28_ ,9.74_ 
255.3_ ,98.8_ ,77.0_ ,188.6_ ,6.5_ ,919.0_ ,749.3_ ,28_ ,33.80_ 
272.8_ ,105.1_ ,81.8_ ,209.7_ ,9.0_ ,904.0_ ,679.7_ ,28_ ,37.17_ 
162.0_ ,190.1_ ,148.1_ ,178.8_ ,18.8_ ,838.1_ ,741.4_ ,28_ ,33.76_ 
153.6_ ,144.2_ ,112.3_ ,220.1_ ,10.1_ ,923.2_ ,657.9_ ,28_ ,16.50_ 
146.5_ ,114.6_ ,89.3_ ,201.9_ ,8.8_ ,860.0_ ,829.5_ ,28_ ,19.99_ 
151.8_ ,178.1_ ,138.7_ ,167.5_ ,18.3_ ,944.0_ ,694.6_ ,28_ ,36.35_ 
309.9_ ,142.8_ ,111.2_ ,167.8_ ,22.1_ ,913.9_ ,651.2_ ,28_ ,38.22_ 
143.6_ ,0.0_ ,174.9_ ,158.4_ ,17.9_ ,942.7_ ,844.5_ ,28_ ,15.42_ 
303.6_ ,139.9_ ,0.0_ ,213.5_ ,6.2_ ,895.5_ ,722.5_ ,28_ ,33.42_ 
374.3_ ,0.0_ ,0.0_ ,190.2_ ,6.7_ ,1013.2_ ,730.4_ ,28_ ,39.06_ 
158.6_ ,148.9_ ,116.0_ ,175.1_ ,15.0_ ,953.3_ ,719.7_ ,28_ ,27.68_ 
152.6_ ,238.7_ ,0.0_ ,200.0_ ,6.3_ ,1001.8_ ,683.9_ ,28_ ,26.86_ 
310.0_ ,142.8_ ,0.0_ ,167.9_ ,10.0_ ,914.3_ ,804.0_ ,28_ ,45.30_ 
304.8_ ,0.0_ ,99.6_ ,196.0_ ,9.8_ ,959.4_ ,705.2_ ,28_ ,30.12_ 
150.9_ ,0.0_ ,183.9_ ,166.6_ ,11.6_ ,991.2_ ,772.2_ ,28_ ,15.57_ 
141.9_ ,166.6_ ,129.7_ ,173.5_ ,10.9_ ,882.6_ ,785.3_ ,28_ ,44.61_ 
297.8_ ,137.2_ ,106.9_ ,201.3_ ,6.0_ ,878.4_ ,655.3_ ,28_ ,53.52_ 
321.3_ ,164.2_ ,0.0_ ,190.5_ ,4.6_ ,870.0_ ,774.0_ ,28_ ,57.22_ 
366.0_ ,187.0_ ,0.0_ ,191.3_ ,6.6_ ,824.3_ ,756.9_ ,28_ ,65.91_ 
279.8_ ,128.9_ ,100.4_ ,172.4_ ,9.5_ ,825.1_ ,804.9_ ,28_ ,52.83_ 
252.1_ ,97.1_ ,75.6_ ,193.8_ ,8.3_ ,835.5_ ,821.4_ ,28_ ,33.40_ 
164.6_ ,0.0_ ,150.4_ ,181.6_ ,11.7_ ,1023.3_ ,728.9_ ,28_ ,18.03_ 
155.6_ ,243.5_ ,0.0_ ,180.3_ ,10.7_ ,1022.0_ ,697.7_ ,28_ ,37.36_ 
160.2_ ,188.0_ ,146.4_ ,203.2_ ,11.3_ ,828.7_ ,709.7_ ,28_ ,35.31_ 
298.1_ ,0.0_ ,107.0_ ,186.4_ ,6.1_ ,879.0_ ,815.2_ ,28_ ,42.64_ 
317.9_ ,0.0_ ,126.5_ ,209.7_ ,5.7_ ,860.5_ ,736.6_ ,28_ ,40.06_ 
287.3_ ,120.5_ ,93.9_ ,187.6_ ,9.2_ ,904.4_ ,695.9_ ,28_ ,43.80_ 
325.6_ ,166.4_ ,0.0_ ,174.0_ ,8.9_ ,881.6_ ,790.0_ ,28_ ,61.24_ 
355.9_ ,0.0_ ,141.6_ ,193.3_ ,11.0_ ,801.4_ ,778.4_ ,28_ ,40.87_ 
132.0_ ,206.5_ ,160.9_ ,178.9_ ,5.5_ ,866.9_ ,735.6_ ,28_ ,33.31_ 
322.5_ ,148.6_ ,0.0_ ,185.8_ ,8.5_ ,951.0_ ,709.5_ ,28_ ,52.43_ 
164.2_ ,0.0_ ,200.1_ ,181.2_ ,12.6_ ,849.3_ ,846.0_ ,28_ ,15.09_ 
313.8_ ,0.0_ ,112.6_ ,169.9_ ,10.1_ ,925.3_ ,782.9_ ,28_ ,38.46_ 
321.4_ ,0.0_ ,127.9_ ,182.5_ ,11.5_ ,870.1_ ,779.7_ ,28_ ,37.27_ 
139.7_ ,163.9_ ,127.7_ ,236.7_ ,5.8_ ,868.6_ ,655.6_ ,28_ ,35.23_ 
288.4_ ,121.0_ ,0.0_ ,177.4_ ,7.0_ ,907.9_ ,829.5_ ,28_ ,42.14_ 
298.2_ ,0.0_ ,107.0_ ,209.7_ ,11.1_ ,879.6_ ,744.2_ ,28_ ,31.88_ 
264.5_ ,111.0_ ,86.5_ ,195.5_ ,5.9_ ,832.6_ ,790.4_ ,28_ ,41.54_ 
159.8_ ,250.0_ ,0.0_ ,168.4_ ,12.2_ ,1049.3_ ,688.2_ ,28_ ,39.46_ 
166.0_ ,259.7_ ,0.0_ ,183.2_ ,12.7_ ,858.8_ ,826.8_ ,28_ ,37.92_ 
276.4_ ,116.0_ ,90.3_ ,179.6_ ,8.9_ ,870.1_ ,768.3_ ,28_ ,44.28_ 
322.2_ ,0.0_ ,115.6_ ,196.0_ ,10.4_ ,817.9_ ,813.4_ ,28_ ,31.18_ 
148.5_ ,139.4_ ,108.6_ ,192.7_ ,6.1_ ,892.4_ ,780.0_ ,28_ ,23.70_ 
159.1_ ,186.7_ ,0.0_ ,175.6_ ,11.3_ ,989.6_ ,788.9_ ,28_ ,32.77_ 
260.9_ ,100.5_ ,78.3_ ,200.6_ ,8.6_ ,864.5_ ,761.5_ ,28_ ,32.40_ 
